keyword,betweenness_co,betweenness_vote_count,betweenness_vote_average,betweenness_revenue
world war ii,89610.07857143003,48900.583333333336,56863.2857142856,76104.28333333333
demon,88300.68412698421,51060.40000000001,51751.50424088363,86087.24999999999
based on video game,85533.69285714287,15507.383333333331,14737.099999999999,93548.31666666668
paris,83733.4805555556,101812.45000000004,66597.71955266943,96824.96666666663
family,82118.60674603171,67042.08333333333,149562.98333333325,95377.75000000001
massachusetts,78903.06547619046,144726.21666666667,21216.060714285726,85609.45000000001
china,77176.25708180708,34148.9,23416.234632034648,83304.90000000001
1960s,73645.57857142859,66584.5,104519.16785714291,71983.16666666666
time travel,73358.28701298703,69559.5,88645.111904762,71741.75
drugs,73201.4253968252,66396.16666666666,29947.11190476191,63205.05
independent film,71584.29011544015,11054.916666666666,20982.575,60686.5
south korea,71287.74642857144,86575.5,72627.72023809528,77811.53333333333
death,68865.5462191035,111524.8833333333,68666.81782322872,59413.78333333335
australia,66754.18333333335,55882.0,5765.083333333333,59273.5
found footage,65016.814285714296,38531.5,7908.916666666668,74060.5
witch,64399.48125208122,127104.1860389609,34912.18387445891,64959.708802308836
germany,64253.489260739305,49705.49999999999,9677.196428571424,61371.833333333336
dramatic,64095.80827228325,324991.2651101349,90607.84276335976,101079.96536796539
italy,62978.98221500719,76344.66666666667,36111.80416666669,76272.25
investigation,61633.544047619056,77285.88333333333,40258.32976190479,75454.16666666667
ghost,59668.899073149085,159259.23603896104,23030.621933621944,94278.59213564213
infidelity,59503.1845238095,84856.00000000001,13264.099999999999,51436.11666666666
artificial intelligence (a.i.),57996.68816738816,70748.33333333336,19199.875793650775,62171.26666666666
female friendship,57807.46471861448,32277.0,36335.23591269843,69901.57499999998
romcom,55782.013492063496,23752.833333333336,16386.166666666664,62762.083333333336
1970s,54249.48784271284,34830.00000000001,58926.390476190456,35587.33333333333
slasher,53490.62166722167,20138.36666666667,6729.572691197695,61408.67619047621
dark comedy,51925.61587301792,37574.36666666666,64166.39967532462,57393.0
police,51882.6373015873,8509.169047619049,32703.115476190473,32965.73333333332
sentimental,51620.643378697336,30279.57167919801,38166.85762802059,46434.957393483695
disaster,51211.88037518038,8222.75,5375.583333333337,50040.083333333336
sibling relationship,50789.592338217335,55083.36666666666,83277.28423520926,84411.55
pennsylvania,50585.08373015873,90336.39285714284,20384.397619047628,49564.66666666667
suspenseful,50118.612420912345,255731.0833333333,140180.93858225126,87613.07777777778
suicide,49853.71031746032,11236.45,60304.74523809506,52966.01666666666
mental illness,49383.06190476191,4865.642857142858,14910.026190476176,43520.36666666666
based on tv series,49175.296313408806,24698.98452380953,15436.532951199131,57542.769444444464
