keyword,2000_2004,2005_2009,2010_2014,2015_2019,2020_2024,mean_rank_slope
suspenseful,26,25,74,9,13,4.2000000000000055
penalty,1178,1662,1576,1391,1293,4.100000000000095
aggressive,39,103,19,35,53,4.000000000000009
egypt,1159,1662,1576,1356,1293,3.800000000000191
sensei,1530,954,1576,1391,1293,3.7000000000001343
usa,431,111,148,66,435,3.700000000000032
partnership,1530,953,1576,1391,1293,3.6000000000000574
artificial intelligence (a.i.),266,863,211,236,562,3.5000000000000915
hunter,1318,1376,1181,1391,1293,3.5000000000000817
bunker,744,1662,1576,1141,987,3.500000000000055
girlfriend,1468,1075,1576,1391,1293,3.4000000000001513
life changing,1530,950,1086,1391,1293,3.30000000000012
historical artifacts,1530,949,1576,1391,1293,3.200000000000148
dormitory,1373,1262,1576,1391,1293,3.100000000000118
massachusetts,317,181,234,245,270,3.0000000000000187
dystopia,63,32,22,50,39,3.00000000000001
hitchhiker,1530,946,1576,1391,1293,2.900000000000184
fictional war,1277,1452,1248,1391,1293,2.9000000000000816
crop circle,1171,1662,1576,1391,1293,2.7000000000001383
africa,1484,420,1469,776,1293,2.600000000000057
pollution,1530,943,1576,1391,1293,2.6000000000000365
hopeful,53,110,37,124,33,2.600000000000002
stunt,1530,942,1576,1391,1293,2.5000000000001674
scuba diving,1211,1579,1552,1391,1293,2.400000000000179
satirical,566,778,400,218,834,2.400000000000063
looking for  birth parents,1169,1662,1576,1391,1293,2.300000000000185
evil little girl,1530,939,1576,1391,1293,2.200000000000103
beauty salon,1168,1662,1576,1391,1293,2.100000000000196
compassion,1118,1662,1576,1291,1293,2.1000000000001395
art,1530,590,980,1043,1293,2.100000000000118
new zealand,1530,938,1004,1391,1293,2.100000000000048
neighbor,670,416,325,489,623,2.100000000000012
japan,45,145,69,39,88,2.0000000000000044
death of lover,1530,935,1576,1391,1293,1.8000000000001695
community,1166,1662,1576,1391,1293,1.7000000000001596
ex-boyfriend ex-girlfriend relationship,1530,934,1576,1391,1293,1.7000000000000925
pickpocket,1165,1662,1576,1391,1293,1.5000000000001292
amsterdam,1204,1584,1576,1391,1293,1.50000000000008
new identity,1530,931,1576,1391,1293,1.4000000000001944
organized crime,320,122,206,224,262,1.4000000000000186
self-defense,1530,930,1576,1391,1293,1.3000000000001177
