keyword,2000_2004,2005_2009,2010_2014,2015_2019,2020_2024,mean_rank_slope
sand dune,1530,1662,1576,1391,414,250.30000000000024
action comedy,1530,1662,1576,1391,418,249.5
racism,1180,1030,880,141,381,248.7000000000002
death of son,1530,1662,1576,1391,422,248.70000000000002
courtroom,1530,1662,624,939,649,248.50000000000023
rich family,1530,1662,1576,1391,423,248.50000000000006
hired killer,1530,1662,1576,1391,424,248.30000000000015
singer,1341,960,1527,368,398,247.8000000000001
multiple stabbings,1530,1662,1576,1391,427,247.70000000000024
normandy,1530,1662,1576,1391,428,247.50000000000009
jazz,1530,1662,1576,1223,516,246.7
séance,1530,1662,1576,1391,433,246.50000000000017
doll,1530,1560,1531,1391,382,246.50000000000009
country club,1530,1662,1576,1391,434,246.30000000000013
hairstylist,1530,1662,1576,1391,434,246.30000000000013
eccentric family,1530,1662,1576,1391,434,246.30000000000013
hotelier,1530,1662,1576,1391,434,246.30000000000013
military veteran,1530,1662,1576,1391,434,246.30000000000013
italian immigrant,1530,1662,1576,1391,434,246.30000000000013
professional assassin,1530,1662,1576,740,760,246.20000000000013
mansion,1530,1355,1576,994,483,245.50000000000023
kids,1454,1113,1576,557,507,245.00000000000017
computer animation,1530,1344,1576,1022,466,245.00000000000014
docudrama,1530,1662,1576,1200,540,244.2000000000004
female rage,1530,1662,1576,1391,448,243.50000000000023
norway,1530,1662,1576,745,773,243.1000000000002
terminal illness,1109,1454,1554,327,457,243.10000000000016
motherhood,1530,1662,1576,1391,452,242.70000000000024
class differences,1280,1662,1283,744,528,242.20000000000033
psychological horror,839,1662,1576,325,298,241.90000000000015
adaptation,1530,1662,1576,1391,458,241.5000000000001
comedy thriller,1530,1662,1576,1391,460,241.10000000000008
snake,1530,1662,1576,1391,462,240.69999999999987
wry,1530,1662,1576,876,720,240.60000000000028
sexual assault,1530,1662,1576,1391,464,240.3000000000002
grim,758,1662,568,301,241,239.50000000000023
deadly snake,1530,1662,1576,1391,468,239.50000000000014
romantic drama,1530,1662,1576,1391,471,238.9000000000002
spiritism,1512,1662,1576,1391,455,238.50000000000006
music,1530,1662,1576,1268,537,238.00000000000017
metoo,1530,1662,1576,1391,478,237.50000000000037
gorilla,1530,1662,397,873,738,237.30000000000032
based on magazine,1530,1662,1576,212,1072,236.6000000000002
newspaper or article,1530,1662,1576,212,1072,236.6000000000002
sex,1374,1363,553,1391,179,236.20000000000022
loving,1404,179,131,315,155,236.20000000000016
girls' school,1530,1260,1576,1391,284,236.1000000000001
self image,1530,1662,1576,1391,487,235.70000000000024
abuse of power,1530,1662,1576,1391,490,235.10000000000022
bitter,1530,1219,736,336,797,234.90000000000018
abusive husband,1515,1662,1576,1391,480,234.10000000000008
world domination,1530,1662,1576,1391,496,233.89999999999995
talking animal,1439,141,506,166,263,232.7000000000001
artist,1530,537,1018,405,434,232.40000000000006
dark romance,1530,1662,1576,1391,504,232.30000000000035
based on children's book,1304,85,68,116,127,232.30000000000015
interdimensional travel,1530,1662,1576,1391,505,232.1000000000002
party,1530,1662,1576,1391,509,231.3000000000002
mmorpg,1530,1662,1576,1391,510,231.1000000000002
end of the world,1530,677,739,819,305,230.80000000000018
basement,1530,1662,1227,1134,640,230.80000000000013
portugal,1530,1662,1576,1253,581,230.70000000000002
female superhero,1530,1662,1576,1391,513,230.50000000000009
moral conflict,1530,1662,1576,1391,514,230.30000000000007
speculative,1530,974,1576,357,693,229.10000000000014
autofiction,1530,1662,1576,1391,521,228.90000000000015
teen social issues,1530,1662,1576,1391,522,228.70000000000016
historical drama,1099,1662,1006,1391,93,228.30000000000015
bromance,1530,1662,1576,1065,688,228.10000000000016
genocide,1530,1662,1536,551,947,227.70000000000036
alien life-form,801,1389,1576,634,40,227.70000000000013
race against time,1530,1380,356,349,908,227.50000000000023
straightforward,1530,1662,483,1005,721,227.5000000000001
death of mother,1530,1662,902,914,768,227.20000000000016
bukatsu,1530,1662,1576,1391,531,226.90000000000012
monkey,1530,1662,935,750,852,226.79999999999998
school club,1530,1662,1576,1391,532,226.70000000000005
sport competition,1530,1662,1576,1391,532,226.70000000000005
paranoia,1530,1114,858,800,555,226.40000000000018
alien invasion,1455,150,176,146,327,226.0000000000002
fake identity,1423,413,1146,341,329,226.0000000000001
possession,1267,641,490,458,230,225.7000000000001
docufiction,1530,1662,1576,1391,541,224.90000000000046
prayer,1530,1116,1535,790,570,224.60000000000014
mental health,1530,1662,1576,1391,543,224.50000000000026
evil king,1530,1662,1576,1391,544,224.3000000000003
gadget,1530,1662,1576,1391,547,223.70000000000027
cousin relationship,1530,1662,932,1066,710,223.60000000000014
school life,1530,1662,1576,1391,549,223.30000000000027
musician,1220,1168,887,895,243,222.70000000000013
idol,1530,1662,1576,1391,554,222.30000000000018
deaf,1530,1662,1075,868,819,221.60000000000025
eating disorder,1530,1662,1576,1391,561,220.90000000000038
home invasion,1358,766,383,220,527,220.80000000000018
teen anger,1530,1662,1576,1391,563,220.49999999999997
adopted child,1530,1662,1576,1391,566,219.90000000000012
pathetic,1530,1662,1576,439,1043,219.7000000000001
coming out,1530,995,1576,1391,234,219.6000000000001
mad scientist,744,1662,1576,335,311,219.3
joyous,645,1508,1576,397,106,218.90000000000015
compilation,1530,466,1576,237,551,218.7000000000001
crowdfunded film,1530,1662,1576,1391,573,218.50000000000006
anthropomorphic animal,1530,1184,1576,1391,334,218.50000000000003
belief in god,1530,1662,1576,1391,574,218.30000000000032
isolated farmhouse,1530,1662,1576,1391,576,217.90000000000006
nazi germany,1530,1662,1576,1391,577,217.70000000000016
teenage boy,1196,381,127,422,87,217.70000000000005
texas,1335,818,1230,751,282,217.30000000000027
toxic masculinity,1530,1662,1576,727,912,217.10000000000025
transgender,1530,1662,1576,1391,580,217.10000000000025
lisbon,1530,1662,1576,1391,581,216.90000000000026
female sexuality,1530,1662,1576,1391,585,216.10000000000028
unassuming,1530,1662,471,1014,775,215.8000000000001
female police officer,1530,1662,1576,1391,587,215.70000000000016
