title,vote_average,vote_count,revenue,keywords
"Lise Watier, une vie à entreprendre",0.0,0,0,"quebec, makeup, women entrepreneur"
LEGO DC Comics Super Heroes: Justice League vs. Bizarro League,6.25,156,0,"based on comic, super power, lego"
B-Movie: Lust & Sound in West-Berlin 1979-1989,7.648,44,0,"west berlin, 1980s"
Frank Zappa & The Mothers: Roxy: The Movie,6.8,6,0,"rock concert, experimental music, avant garde, american musician, roxy theatre hollywood, ca"
A Moon Hangs Above the Graveyard,0.0,0,0,"indonesia, urban, batak"
Dog Lady,5.8,9,0,woman director
Mission: Impossible - Rogue Nation,7.219,9412,682716636,"mask, mission, assassin, london, england, spy, morocco, villain, fake identity, austria, europe, double agent, sequel, secret government organization, conspiracy, infiltration, mi6, mole, vienna, austria, british prime minister, vienna opera, fictional government agency, british intelligence, government agency, based on tv series"
It Follows,6.589,6719,23374076,"beach, chase, supernatural, friends, vision, teenage girl, school, detroit, michigan, evil, voyeurism, sexually transmitted disease, young adult, followed, ambiguity, pastiche, intense"
The Transporter Refueled,5.516,1554,72629670,"transporter, sequel, french riviera, reboot, bank heist, awestruck, defiant"
San Andreas,6.244,8837,473990832,"california, san francisco, california, looting, earthquake, tsunami, disaster, los angeles, california, helicopter pilot, scientist, teenage daughter, seismologist, catastrophe, disaster movie, divorced couple, san andreas, california, helicopter crash, mass destruction, rescue operation, tectonic plates, hoover dam, serious, search and rescue, intense, lafd - los angeles fire department, aftershocks"
Here in Lisbon,5.0,2,0,woman director
Killing Jesus,6.298,99,0,"roman empire, biography, paranoid fantasy, religion, jesus christ"
Bad Sister,6.6,242,0,erotic thriller
Nothing in Return,6.4,172,0,"adolescence, family drama, teen drama"
Boruto: Naruto the Movie,7.46,1638,38362448,"ninja, shounen, anime, adventure"
Ooops! Noah Is Gone...,6.421,330,22783699,"animals, noah's ark, christian film"
Bajrangi Bhaijaan,7.794,519,150000000,"religion, journey, lost child"
The Lady in the Car with Glasses and a Gun,5.119,139,339461,remake
A Grand Night In: The Story of Aardman,7.0,31,0,"stop motion, making of"
Faith of Our Fathers,5.58,25,0,"vietnam war, faith, christian"
Always Watching: A Marble Hornets Story,5.15,167,714058,"found footage, creepypasta, pseudo-documentary, web series, low budget, in-world camera"
The Gigolo,5.4,44,709136,"male prostitution, erotic movie"
Papa Hemingway in Cuba,5.4,29,0,"biography, hemmingway"
Thomas & Friends: Sodor's Legend of the Lost Treasure: The Movie,6.2,20,3,"treasure, villain, awestruck"
The Last Journey of the Enigmatic Paul W.R,4.6,16,0,short film
Embrace of the Serpent,7.681,488,1320005,"indigenous, religious conversion, amazon rainforest, based on true story, spirituality, colonisation, religious fundamentalism, nature, colonialism, amazon tribe, indigenous peoples, chamanismo"
Annabel's: A String of Naked Lightbulbs,3.0,1,0,"london, england, nightclub"
Babbo Natale non viene da Nord,6.014,36,0,"santa claus, memory loss, christmas"
Just Before I Go,6.415,359,0,"suicide, woman director"
You Can't Save Yourself Alone,6.504,233,0,salvage
Look Who's Back,6.8,1871,25513752,"based on novel or book, dark comedy, third reich (iii reich 1933-45), adolf hitler"
Bridge of Spies,7.236,7104,165478348,"central intelligence agency (cia), spy, cold war, soviet union, pilot, lawyer, american, courtroom, russian spy, legal drama"
Home,6.791,4134,368871007,"spacecraft, villain, alien, space, alien invasion, alien friendship, awful leader, taking resposibility, approving, vibrant"
System of a Down - Rock in Rio,8.5,17,0,"live, live performance"
When Duty Calls,6.5,10,0,"police, newlywed"
Legend,7.056,4128,42972994,"gangster, biography, based on true story, twins, aggressive, cautionary, dramatic, foreboding"
Blinky Bill the Movie,5.607,42,4634032,"zoo, anthropomorphism, australian bush, koala"
Bone Tomahawk,6.879,2424,475846,"rescue, sheriff, prisoner, ambush, poison, redemption, wilderness, gore, tribe, native american, rifle, murder, decapitation, drifter, scalping, cannibal, captive, cynical, posse, neo-western, civil war veteran, burial ground, cave dwellers, horror western, disdainful, sardonic, brutal violence"
Pandora in the Crimson Shell: Ghost Urn,6.0,2,0,"cyborg, based on manga, ecchi, anime"
If You Knew How Beautiful It Is Here,6.7,18,50604,landkrimi
Yankee-kun na Yamada-kun to Megane-chan to Majo,0.0,0,0,body-swap
London Road,5.461,38,0,"england, musical, based on play or musical, serial killer"
Debbie Macomber's Dashing Through The Snow,6.149,85,0,"snow, christmas, christmas romance"
Spy,6.836,6246,235666219,"central intelligence agency (cia), budapest, hungary, paris, france, undercover agent, rome, italy, spy, arms dealer, bulgaria, nuclear bomb, female spy, heiress, bumbling, aftercreditsstinger, duringcreditsstinger, analyst, ironic, suspicious, spycraft, handler, special assignment, mocking, modest, ridiculous"
Punk Berlin 1982,5.1,27,0,"punk rock, 1980s, dog on drugs, drugged animal"
Self/less,6.412,3220,31807156,"immortality, lie, terminal illness, laboratory, cancer, transhumanism, doctor, body-swap, death, false memory, soul transference, rich man, mind transfer, host body, body snatching, eternal"
Barbie & Her Sisters in the Great Puppy Adventure,7.1,280,0,"puppy, based on toy, female protagonist, dog, 3d animation"
Keepers of the Covenant: Making 'Exodus: Gods and Kings',5.8,31,0,"behind the scenes, making of"
A Bigger Splash,6.154,833,7545758,"fish, rock star, italy, vacation, rock concert"
Wagner: Der fliegende Holländer,0.0,0,0,opera
