title,vote_average,vote_count,revenue,keywords
Mardock Scramble: The First Compression,6.8,122,0,"artificial intelligence (a.i.), based on novel or book, cyborg, cyberpunk, anime"
Wog Boy 2: The Kings of Mykonos,4.9,28,0,"australia, greece, mykonos"
The Pregnancy Pact,5.088,136,0,"pregnancy, massachusetts, based on true story, woman director, pregnant teen, investigative journalism, pact, teen pregnancy"
Everyone Says I Look Just Like Her,4.5,6,0,"michigan, family relationships, interracial romance"
Prep & Landing Stocking Stuffer: Operation: Secret Santa,6.5,117,0,"holiday, christmas, short film"
Of Gods and Men,6.7,403,41424067,"sunrise, faith, hostage, peace, monk, koran, evacuation, medicine, protection, based on true story, religion, terrorism, algeria"
The Perfect Date,5.612,214,0,"paris, france"
Si Agimat at si Enteng Kabisote,8.9,5,0,"philippines, sequel"
The People vs. George Lucas,6.4,108,0,"pop culture, fan culture, hollywood, space opera, hollywood star, cultural conflict, fandom, film director, famous people, social & cultural documentary, observational documentary"
Cave of Forgotten Dreams,7.1,347,6467348,"southern france, cave, cave painting, prehistory, scientist"
Robot Chicken: Star Wars Episode III,7.437,158,0,based on tv series
The Sorcerer's Apprentice,6.135,5141,215300000,"witch, mission, magic, mystic, castle, sorcerer's apprentice, sorcery, sorcerer, falling in love, based on movie, reflection, magic trick, wizard, aftercreditsstinger, magical creature, statue, college student, electric power, magician, magic book, live action remake, good versus evil, electricity, salem witch, magic ring, callback, raising the dead"
Knight and Day,6.225,4751,261989769,"central intelligence agency (cia), airport, inventor, kidnapping, boston, massachusetts, spy, traitor, invention, protection, betrayal, on the run, fish out of water, train, attraction, boy genius, drugged, tropical island, crash landing, airplane trip, duringcreditsstinger, motorcycle chase, seville, spain, unassuming, action comedy, lighthearted, sister's wedding, rogue spy, salzburg, austria"
Prince of Persia: The Sands of Time,6.294,6993,336365676,"persia, sandstorm, brother against brother, armageddon, based on video game"
I Am Love,6.778,387,12014663,"adultery, milan, textile industry, restaurant, male friendship, bourgeoisie, food, chef, high society, italian cuisine, gay subtext"
LEGO: The Adventures of Clutch Powers,5.8,101,69229,"based on toy, wizard, lego, teamwork"
The Servant,5.77,37,0,"eroticism, joseon dynasty (1392–1910)"
Scott Pilgrim vs. the World,7.486,8301,51691156,"video game, skateboarding, ex-boyfriend, ex-girlfriend, toronto, canada, animated scene, dating, guitar player, break-up, based on graphic novel, group of friends, whipping, hipster, underage girlfriend, unconsciousness, vegan, aftercreditsstinger, garage band, band competition"
Unstable Fables: Goldilocks and the Three Bears,5.824,17,0,"celebrity, talent show, bear, product description"
"Moscow, I Love You!",4.783,30,0,"anthology, moscow, russia, woman director"
We Are What We Are,5.915,129,0,"family relationships, murder"
Animals United,5.64,336,0,"dam, shark, animals, hoover dam"
Akira Kurosawa: The Epic and the Intimate,0.0,0,0,"interview, filmmaking"
The Princess of Montpensier,6.3,273,6775121,"princess, mask, infidelity, france, forbidden love, duke, love, based on short story, 16th century, aristocracy"
Charlie St. Cloud,6.968,2210,48200000,"sibling relationship, based on novel or book, sailing, ghost, young adult"
"Rose, c'est Paris",4.8,8,0,"paris, france, photographic evidence, erotic photography, exposition, photo model, nude photography"
Open Season 3,5.658,649,0,"friendship, circus, deer, bear, look-alike, family, animals"
My Name Is Khan,8.028,1387,42345360,"autism, mumbai (bombay), india, based on true story, prejudice, religion, disability, asperger's syndrome, asian american"
Ong Bak 3,6.0,462,2340363,"martial arts, alternate history, duringcreditsstinger"
Loups=Garous,4.8,18,0,"future, based on novel or book, serial killer, teenage girl, anime"
Free Willy: Escape from Pirate's Cove,6.16,188,0,"whale, south africa, sequel, killer whale, reboot, cape town, south africa, animal rescue"
Little Big Soldier,6.902,328,0,"martial arts, showdown, escape, general, musician, slavery, duel, soldier, dark hero, samurai sword"
"Pétain, such a popular hero",8.0,1,0,"world war ii, nazi collaborationism, historical drama, occupied france (1940-44), adolf hitler, french history, war documentary, historical documentary"
Hard Ride to Hell,4.659,22,0,"pregnancy, satanism, motorcycle gang, cannibal"
From Paris with Love,6.352,2203,52800000,"central intelligence agency (cia), ambassador, paris, france, undercover, explosive, anti hero, pimp, firearm, revelation, politician, deception, car crash, gang"
Camp Rock 2: The Final Jam,6.3,1548,0,"summer camp, battle of the bands, camp, singing, singing competition"
The Loved Ones,6.7,809,358399,"high school, escape, killing, revenge, prom, torture"
Cameraman: The Life and Work of Jack Cardiff,6.6,35,0,biography
So Hard to Forget,5.515,33,0,"lesbian relationship, male homosexuality"
The Perfect Host,6.419,447,453708,"robbery, murder, neighbor, criminal, home video, drugged, dinner party, intercom"
The New Big Ball with Neil Hamburger,6.0,1,0,short film
The Last Godfather,4.2,18,16700000,"new york city, mafia, godfather"
Never Sleep Again: The Elm Street Legacy,7.811,167,0,"movie business, behind the scenes, special effects, horror filmmaking, celebrity interview, film director, film crew, actor"
The Big Four: Live in Sofia,8.3,65,0,"concert, live, live performance"
Let the Bullets Fly,7.734,331,104731450,"china, satire, bandit, bandit gang"
Born to Raise Hell,4.7,111,0,"martial arts, drug smuggling, drug crime, drug trafficking, rookie"
Devil's Playground,5.3,117,0,"mercenary, zombie apocalypse"
Tucker and Dale vs. Evil,7.4,2992,5224938,"countryside, west virginia, cabin, chainsaw, misunderstanding, accidental death, hillbilly, violent death, killer, held captive, old friends, isolated house, disturbed teenager, captured woman, country bumpkin, teenager"
Operation: Endgame,5.0,220,0,"assassin, female assassin, duringcreditsstinger"
Never Let Me Go,6.848,2392,9918093,"london, england, based on novel or book, love triangle, england, boarding school, forgiveness, dystopia, sadness, aging, cloning, morality, human rights, existentialism, human clone, crime against humanity, medical ethics, organ trafficking, abomination"
Preacher's Kid,6.221,43,515065,"singer, family drama, preacher, gospel music, christian faith, independent film"
Mosa,3.0,1,0,"iris prize, short film"
Paranormal Activity 2,5.785,2563,177512032,"supernatural, haunting, sequel, prequel, ouija board, demonic possession, found footage, duringcreditsstinger, supernatural horror, antagonistic"
