keyword,closeness_co,closeness_vote_count,closeness_vote_average,closeness_revenue
flashback,1.3786183957221119,2671.0951362177716,3.9334887433396486,24.389903632856534
vibrant,1.3779096072131978,2690.721929189938,3.9136803091595302,24.527769700582507
supernatural horror,1.3776610284842163,2518.8799562449676,3.7300581070705277,24.628002563276937
suicide,1.3771698461648467,2566.6821775901867,3.901573330059456,24.158690546893226
romance,1.3758226763993082,2654.0685011133514,3.9187341324851803,24.396129053864353
empathetic,1.375047651661227,2689.1701723385036,3.867662270363368,24.522052586769572
death,1.3741954847338955,2685.4430102072056,3.9537665313653427,24.30047100129976
artificial intelligence (a.i.),1.3740236836351085,2740.0298320486304,3.770823879033183,24.586668687880902
small town,1.373169633018004,2661.0931700292167,3.8306825649550493,24.197247099055637
brooklyn,1.3726600254622685,2684.557503380935,3.5962804079175577,24.340034592939503
manhattan,1.3726280089723624,2627.459409725407,3.2813878661651237,24.286222090309874
bullying,1.3718957119177841,2703.7765741397297,3.8728312566317578,24.319711417270742
aggressive,1.3718487844910807,2697.937636435653,3.96753118500593,24.299673492262063
independent film,1.3707367729438713,2160.733482525613,3.7744482334652543,24.000446319251445
cheerful,1.370322135456868,2675.9307279924237,3.8335002762337065,24.382336562542847
absurd,1.370099514117298,2686.0942435078045,3.867623473306349,24.4522413276051
obsession,1.3699327589670045,2738.7044821874933,3.879253867310226,24.453778428610445
whodunit,1.369658637838609,2728.5881649503235,3.8026096898854744,24.286615568270015
1990s,1.369510578420744,2518.5911314156897,3.814846180021901,23.954208563754023
fbi,1.3693811735184906,2619.2248103338534,3.7942452912692284,24.239408738069184
melodramatic,1.3688860589451266,2584.154946817712,3.846464327677338,24.259054122998357
high fantasy,1.3687224080685139,2744.4546142778336,3.5766751466269313,24.644935836851985
parent child relationship,1.3681539250452488,2686.236197580167,4.068478349487466,24.13514189228825
spy,1.3680500247704834,2715.9650906309876,3.799301275388787,24.543980988851416
female protagonist,1.3673708327023562,2709.0078161143047,4.007743732953367,24.290957949250267
family,1.3667713518880806,2679.507461749487,4.048193709114417,24.355415274071685
female friendship,1.3654683115290949,2456.4103115095945,3.816373192998837,24.053290345715002
sports,1.3654362502109296,2596.4808572374764,3.8376637335561474,24.072278489014902
sibling relationship,1.3651920743072514,2652.7342467837707,3.9602341148098787,24.362561847283736
